show_id,movie_id,screen_id,show_date,show_time
95,43,142,2026-08-25,22:00
96,49,117,2026-08-30,16:00
97,25,62,2026-08-19,19:00
98,30,106,2026-08-02,16:00
99,96,122,2026-08-23,19:00
100,50,39,2026-08-16,10:00
101,17,129,2026-08-31,22:00
102,43,26,2026-08-28,19:00
103,13,135,2026-08-30,19:00
104,2,37,2026-08-14,13:00
105,10,121,2026-08-26,16:00
106,44,102,2026-08-21,10:00
107,43,137,2026-08-13,16:00
108,81,125,2026-08-28,22:00
109,5,18,2026-08-08,16:00
110,30,24,2026-08-14,10:00
111,98,26,2026-08-15,13:00
112,89,77,2026-08-29,10:00
113,6,84,2026-08-26,10:00
114,38,92,2026-08-12,19:00
115,19,63,2026-08-17,19:00
116,73,47,2026-08-06,13:00
117,11,98,2026-08-20,13:00
118,64,150,2026-08-05,13:00
119,60,66,2026-08-15,16:00
120,86,3,2026-08-29,19:00
121,37,140,2026-08-06,10:00
122,57,89,2026-08-19,16:00
123,82,109,2026-08-23,16:00
124,59,78,2026-08-07,19:00
125,62,28,2026-08-08,19:00
126,74,92,2026-08-19,16:00
127,90,76,2026-08-01,19:00
128,36,3,2026-08-19,10:00
129,78,128,2026-08-27,16:00
130,100,59,2026-08-20,16:00
131,29,49,2026-08-20,16:00
132,87,36,2026-08-21,10:00
133,81,11,2026-08-10,19:00
134,5,149,2026-08-12,13:00
135,12,76,2026-08-11,19:00
136,23,52,2026-08-05,22:00
137,47,136,2026-08-17,16:00
138,107,43,2026-08-09,19:00
139,104,76,2026-08-24,16:00
140,103,30,2026-08-15,10:00
141,19,58,2026-08-28,19:00
142,103,143,2026-08-12,10:00
143,102,102,2026-08-01,16:00
144,69,32,2026-08-15,16:00
145,87,68,2026-08-19,19:00
146,106,96,2026-08-04,13:00
147,61,7,2026-08-20,22:00
148,42,57,2026-08-21,10:00
149,82,119,2026-08-30,16:00
150,84,105,2026-08-04,13:00
151,6,10,2026-08-10,19:00
152,15,25,2026-08-08,22:00
153,18,100,2026-08-15,16:00
154,86,139,2026-08-14,22:00
155,96,40,2026-08-29,19:00
156,84,26,2026-08-27,19:00
157,79,105,2026-08-31,16:00
158,5,95,2026-08-07,19:00
159,57,61,2026-08-28,16:00
160,13,95,2026-08-18,16:00
161,8,102,2026-08-09,13:00
162,16,117,2026-08-03,13:00
163,83,6,2026-08-02,16:00
164,32,33,2026-08-26,22:00
165,27,18,2026-08-27,22:00
166,27,56,2026-08-27,13:00
167,43,38,2026-08-26,22:00
168,1,71,2026-08-28,13:00
169,17,139,2026-08-09,13:00
170,15,7,2026-08-05,10:00
171,46,61,2026-08-19,16:00
172,3,45,2026-08-09,10:00
173,17,108,2026-08-17,10:00
174,96,17,2026-08-16,19:00
175,100,93,2026-08-17,22:00
176,14,116,2026-08-17,13:00
177,79,12,2026-08-24,22:00
178,39,118,2026-08-21,10:00
179,8,123,2026-08-28,19:00
180,55,28,2026-08-16,19:00
181,10,21,2026-08-11,22:00
182,19,17,2026-08-05,16:00
183,80,150,2026-08-18,16:00
184,49,136,2026-08-10,19:00
185,65,111,2026-08-04,10:00
186,84,142,2026-08-24,13:00
187,56,116,2026-08-29,13:00
188,53,87,2026-08-27,19:00
189,52,107,2026-08-24,10:00
190,41,110,2026-08-11,16:00
191,48,40,2026-08-22,19:00
192,9,24,2026-08-27,10:00
193,12,111,2026-08-04,16:00
194,104,34,2026-08-18,10:00
195,76,144,2026-08-18,16:00
196,86,32,2026-08-14,16:00
197,86,109,2026-08-28,10:00
198,37,80,2026-08-12,10:00
199,74,130,2026-08-07,13:00
200,85,124,2026-08-08,10:00
